City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ciro marina,39.3732,17.126,289.82,50,5,2.32,IT,1714440932
83,colonia,50.9333,6.95,287.56,83,0,1.03,DE,1714440932
84,minas de marcona,-15.2119,-75.1103,289.6,81,51,4.84,PE,1714440933
85,shivpuri,25.4333,77.65,301.46,31,0,3.62,IN,1714440933
86,aykhal,66.0,111.5,271.22,97,100,11.28,RU,1714440933
87,monroe,43.1501,-77.6831,288.86,85,40,3.6,US,1714440933
88,saldanha,-33.0117,17.9442,288.54,75,1,4.1,ZA,1714440933
89,santa cruz,-17.8,-63.1667,300.85,78,20,5.14,BO,1714440761
90,yumbel,-37.0833,-72.5667,279.87,91,2,2.11,CL,1714440668
91,polyarnyy,69.1989,33.4478,273.28,94,100,0.9,RU,1714440933
92,ulsteinvik,62.3432,5.8487,284.65,62,100,3.13,NO,1714440696
93,blackmans bay,-43.0167,147.3167,285.66,72,100,1.34,AU,1714440699
94,tiksi,71.6872,128.8694,260.21,93,100,2.91,RU,1714440933
95,kenai,60.5544,-151.2583,283.2,71,0,7.72,US,1714440934
96,oyama,36.3,139.8,295.7,67,94,3.61,JP,1714440934
97,tanda,26.55,82.65,307.22,13,0,5.03,IN,1714440934
98,dudinka,69.4058,86.1778,256.3,92,86,8.05,RU,1714440934
99,udachny,66.4167,112.4,271.18,94,100,12.18,RU,1714440934
100,jamestown,42.097,-79.2353,295.95,53,0,3.09,US,1714440934
101,codrington,-38.2667,141.9667,286.76,58,57,6.15,AU,1714440934
102,grytviken,-54.2811,-36.5092,274.91,91,86,5.92,GS,1714440934
103,badger,64.8,-147.5333,285.29,29,40,4.12,US,1714440934
104,karratha,-20.7377,116.8463,304.55,22,8,8.68,AU,1714440934
105,san patricio,28.017,-97.5169,299.07,89,7,5.25,US,1714440934
106,punta alta,-38.8759,-62.0736,287.58,74,0,5.7,AR,1714440935
107,robertsport,6.7533,-11.3686,301.16,87,12,2.92,LR,1714440935
108,kapa'a,22.0752,-159.319,301.14,75,40,4.63,US,1714440935
109,kingston,17.997,-76.7936,301.68,70,20,7.72,JM,1714440805
110,onguday,50.75,86.15,281.51,68,100,0.28,RU,1714440935
111,klyuchi,52.2667,79.1667,278.4,44,100,4.5,RU,1714440935
112,vorgashor,67.5833,63.95,268.6,95,100,8.36,RU,1714440935
113,champerico,14.3,-91.9167,302.35,69,76,1.76,GT,1714440935
114,bilibino,68.0546,166.4372,270.07,79,9,1.85,RU,1714440935
115,nampa,43.5407,-116.5635,284.64,48,75,4.63,US,1714440754
116,kudahuvadhoo,2.6708,72.8944,300.89,81,100,8.63,MV,1714440936
117,georgetown,5.4112,100.3354,304.11,75,20,2.57,MY,1714440936
118,huayacocotla,20.55,-98.4833,290.11,76,49,0.96,MX,1714440936
119,zaozersk,69.4005,32.4476,273.19,91,100,0.6,RU,1714440936
120,labrador city,52.9463,-66.9114,268.81,48,75,5.66,CA,1714440936
121,saint-joseph,-21.3667,55.6167,296.36,83,70,5.73,RE,1714440936
122,tubarjal,30.4999,38.216,295.42,46,100,3.62,SA,1714440936
123,muncar,-8.4333,114.3333,299.65,91,96,3.0,ID,1714440936
124,tianshui,34.5439,105.6897,283.21,57,100,2.65,CN,1714440936
125,katsuura,35.1333,140.3,293.16,94,100,5.25,JP,1714440936
126,natal,-5.795,-35.2094,298.51,94,75,1.54,BR,1714440641
127,hawaiian paradise park,19.5933,-154.9731,298.88,77,40,4.63,US,1714440937
128,tommot,58.9564,126.2925,274.86,96,100,1.55,RU,1714440937
129,coxen hole,16.3244,-86.5366,301.75,79,0,9.26,HN,1714440937
130,quellon,-43.1167,-73.6167,279.29,87,100,3.6,CL,1714440688
131,cide,41.8921,33.0044,286.78,96,100,0.36,TR,1714440937
132,acajutla,13.5928,-89.8275,301.51,77,100,1.82,SV,1714440937
133,soio,-6.1349,12.3689,299.68,89,100,1.73,AO,1714440937
134,temiskaming shores,47.4938,-79.7153,277.04,93,100,5.12,CA,1714440937
135,saint augustine beach,29.8505,-81.2654,295.98,78,0,5.14,US,1714440937
136,saipan,15.1355,145.701,304.54,62,20,6.69,MP,1714440937
137,chifeng,42.2683,118.9636,287.18,28,0,3.45,CN,1714440938
138,itaituba,-4.2761,-55.9836,297.2,96,18,0.95,BR,1714440938
139,kiruhura,-2.4773,29.7679,287.71,97,35,0.77,RW,1714440938
140,abashiri,44.0213,144.2697,282.31,76,75,5.66,JP,1714440938
141,ust-nera,64.5667,143.2,268.66,87,100,3.39,RU,1714440938
142,weno,7.4515,151.8468,299.12,94,100,3.6,FM,1714440938
143,queenstown,-31.8976,26.8753,286.22,35,0,3.33,ZA,1714440938
144,san fernando de apure,7.8878,-67.4724,300.99,72,67,3.24,VE,1714440938
145,pont rouge,48.8833,-72.0825,281.31,64,100,3.84,CA,1714440938
146,albany,42.6001,-73.9662,286.38,62,41,1.44,US,1714440602
147,ribeira grande,38.5167,-28.7,289.69,79,57,3.02,PT,1714440938
148,kununurra,-15.7667,128.7333,304.14,35,26,6.69,AU,1714440939
149,sandersville,32.9815,-82.8101,293.97,75,3,1.69,US,1714440939
150,hithadhoo,-0.6,73.0833,301.92,73,100,3.24,MV,1714440939
151,yeppoon,-23.1333,150.7333,299.4,74,31,8.31,AU,1714440939
152,barra de santo antonio,-9.4047,-35.5072,298.75,74,100,3.47,BR,1714440939
153,callao,-12.0667,-77.15,297.44,78,0,5.14,PE,1714440939
154,namtsy,62.7161,129.6658,270.52,70,7,1.41,RU,1714440939
155,hammerfest,70.6634,23.6821,271.4,80,6,3.09,NO,1714440939
156,lerwick,60.1545,-1.1494,282.15,92,100,12.75,GB,1714440940
157,mount gambier,-37.8333,140.7667,286.56,55,100,4.58,AU,1714440940
158,santa maria,-29.6842,-53.8069,293.76,94,100,1.03,BR,1714440827
159,kayenta,36.7278,-110.2546,290.92,22,0,4.41,US,1714440940
160,happy valley-goose bay,53.3168,-60.3315,271.32,86,100,8.75,CA,1714440900
161,wells branch,30.446,-97.6795,300.28,72,0,2.57,US,1714440940
162,harlingen,26.1906,-97.6961,301.2,87,100,6.17,US,1714440729
163,vila franca do campo,37.7167,-25.4333,288.38,84,58,1.56,PT,1714440940
164,wenshui,28.4506,106.5267,284.32,88,100,1.94,CN,1714440940
165,bredasdorp,-34.5322,20.0403,288.5,75,0,2.2,ZA,1714440941
166,tame,6.461,-71.73,296.92,88,100,1.41,CO,1714440941
167,hongjiang,27.11,109.9956,292.3,94,100,2.5,CN,1714440941
168,tukrah,32.5341,20.5791,294.18,44,10,3.97,LY,1714440941
169,obligado,-27.0333,-55.6333,297.14,78,42,2.08,PY,1714440941
170,kargopol',61.5071,38.9456,279.91,91,100,2.69,RU,1714440941
171,okhotsk,59.3833,143.3,273.72,96,100,4.03,RU,1714440881
172,rio hato,8.3833,-80.1667,300.63,85,62,2.97,PA,1714440941
173,chonchi,-42.6128,-73.8092,278.22,95,100,1.64,CL,1714440699
174,kovalam,8.3667,76.9967,303.2,74,40,1.03,IN,1714440941
175,stanley,54.868,-1.6985,283.16,80,75,5.14,GB,1714440828
176,ballina,-28.8667,153.5667,296.36,62,83,1.25,AU,1714440865
177,college,64.8569,-147.8028,285.33,33,40,4.12,US,1714440942
178,nikolayevsk-on-amure,53.1406,140.73,279.38,50,98,1.79,RU,1714440942
179,sinan,34.8262,126.1086,288.21,83,100,9.17,KR,1714440942
180,coquimbo,-29.9533,-71.3436,287.0,71,0,2.06,CL,1714440698
181,mokhsogollokh,61.4681,128.9203,273.28,44,77,2.38,RU,1714440942
182,masterton,-40.9597,175.6575,290.43,36,33,2.3,NZ,1714440942
183,fort bragg,35.139,-79.006,297.06,64,0,1.54,US,1714440942
184,sydney mines,46.2367,-60.2177,279.08,71,100,9.26,CA,1714440942
185,belmonte,-15.8631,-38.8828,298.17,88,5,2.44,BR,1714440942
186,blackwater,-23.5833,148.8833,300.57,40,1,5.55,AU,1714440943
187,quatre cocos,-20.2078,57.7625,298.76,81,93,6.38,MU,1714440943
188,qarauyl,48.9451,79.255,284.7,86,100,2.06,KZ,1714440943
189,oswego,43.4501,-76.1497,291.22,94,100,2.24,US,1714440943
190,baiona,43.4833,-1.4833,283.66,93,100,1.03,FR,1714440943
191,pisco,-13.7,-76.2167,293.18,83,0,6.17,PE,1714440943
192,igarka,67.4667,86.5833,260.94,93,100,9.83,RU,1714440943
193,nemuro,43.3236,145.575,277.71,98,100,7.57,JP,1714440943
194,rio grande,-32.035,-52.0986,292.56,99,100,3.29,BR,1714440943
195,carnarvon,-24.8667,113.6333,300.89,49,0,3.84,AU,1714440943
196,san pedro pochutla,15.7333,-96.4667,301.99,72,1,1.38,MX,1714440944
197,karatsu,33.4425,129.9697,293.07,81,100,2.24,JP,1714440944
198,port hedland,-20.3167,118.5667,303.18,19,43,8.23,AU,1714440944
199,indramayu,-6.3264,108.32,302.15,72,98,2.37,ID,1714440944
200,barberton,-25.7884,31.0532,288.18,55,0,1.95,ZA,1714440944
